DATA_INICIO;DATA_FIM;Valor;Tipo;
01/01/2019;31/03/2019;221912000;Físico;
01/04/2019;31/07/2019;239964000;Físico;
01/07/2019;30/11/2019;252989000;Físico;
01/10/2019;31/03/2020;273101000;Físico;
01/01/2020;31/03/2020;283543000;Físico;
01/04/2020;31/07/2020;267066000;Físico;
01/07/2020;30/11/2020;314053000;Físico;
01/10/2020;31/03/2021;364940000;Físico;
01/01/2021;31/03/2021;356144000;Físico;
01/04/2021;31/07/2021;389903000;Físico;
01/07/2021;30/11/2021;412675000;Físico;
01/10/2021;31/03/2022;449543000;Físico;
01/01/2022;31/03/2022;456618000;Físico;
01/01/2019;31/03/2019;14228000;Digital;
01/04/2019;31/07/2019;18957000;Digital;
01/07/2019;30/11/2019;23287000;Digital;
01/10/2019;31/03/2020;33071000;Digital;
01/01/2020;31/03/2020;46355000;Digital;
01/04/2020;31/07/2020;97945000;Digital;
01/07/2020;30/11/2020;114782000;Digital;
01/10/2020;31/03/2021;136552000;Digital;
01/01/2021;31/03/2021;155513000;Digital;
01/04/2021;31/07/2021;181243000;Digital;
01/07/2021;30/11/2021;198767000;Digital;
01/10/2021;31/03/2022;214501000;Digital;
01/01/2022;31/03/2022;257587000;Digital;
01/01/2019;31/03/2019;20790000;Serviços e Demais;
01/04/2019;31/07/2019;19919000;Serviços e Demais;
01/07/2019;30/11/2019;21781000;Serviços e Demais;
01/10/2019;31/03/2020;24235000;Serviços e Demais;
01/01/2020;31/03/2020;21950000;Serviços e Demais;
01/04/2020;31/07/2020;14748000;Serviços e Demais;
01/07/2020;30/11/2020;21325000;Serviços e Demais;
01/10/2020;31/03/2021;23470000;Serviços e Demais;
01/01/2021;31/03/2021;25859000;Serviços e Demais;
01/04/2021;31/07/2021;26839000;Serviços e Demais;
01/07/2021;30/11/2021;30142000;Serviços e Demais;
01/10/2021;31/03/2022;30403000;Serviços e Demais;
01/01/2022;31/03/2022;32455000;Serviços e Demais;
01/01/2019;31/03/2019;-40072000;Impostos e Outras Deduções;
01/04/2019;31/07/2019;-41860000;Impostos e Outras Deduções;
01/07/2019;30/11/2019;-45884000;Impostos e Outras Deduções;
01/10/2019;31/03/2020;-50342000;Impostos e Outras Deduções;
01/01/2020;31/03/2020;-53251000;Impostos e Outras Deduções;
01/04/2020;31/07/2020;-61086000;Impostos e Outras Deduções;
01/07/2020;30/11/2020;-72456000;Impostos e Outras Deduções;
01/10/2020;31/03/2021;-83180000;Impostos e Outras Deduções;
01/01/2021;31/03/2021;-83360000;Impostos e Outras Deduções;
01/04/2021;31/07/2021;-92199000;Impostos e Outras Deduções;
01/07/2021;30/11/2021;-96229000;Impostos e Outras Deduções;
01/10/2021;31/03/2022;-102219000;Impostos e Outras Deduções;
01/01/2022;31/03/2022;-114351000;Impostos e Outras Deduções;
01/01/2019;31/03/2019;-118863000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/04/2019;31/07/2019;-125140000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/07/2019;30/11/2019;-127753000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/10/2019;31/03/2020;-137992000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/01/2020;31/03/2020;-159454000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/04/2020;31/07/2020;-163568000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/07/2020;30/11/2020;-191552000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/10/2020;31/03/2021;-228675000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/01/2021;31/03/2021;-238977000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/04/2021;31/07/2021;-266146000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/07/2021;30/11/2021;-285555000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/10/2021;31/03/2022;-293981000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/01/2022;31/03/2022;-328256000;Custo das Mercadorias Vendidas e dos Serviços Prestados;
01/01/2019;31/03/2019;-58839000;Com Vendas;
01/04/2019;31/07/2019;-62303000;Com Vendas;
01/07/2019;30/11/2019;-64460000;Com Vendas;
01/10/2019;31/03/2020;-72595000;Com Vendas;
01/01/2020;31/03/2020;-80519000;Com Vendas;
01/04/2020;31/07/2020;-87277000;Com Vendas;
01/07/2020;30/11/2020;-102376000;Com Vendas;
01/10/2020;31/03/2021;-122445000;Com Vendas;
01/01/2021;31/03/2021;-132509000;Com Vendas;
01/04/2021;31/07/2021;-139863000;Com Vendas;
01/07/2021;30/11/2021;-142232000;Com Vendas;
01/10/2021;31/03/2022;-163910000;Com Vendas;
01/01/2022;31/03/2022;-178050000;Com Vendas;
01/01/2019;31/03/2019;-20375000;Gerais & Administrativas;
01/04/2019;31/07/2019;-21199000;Gerais & Administrativas;
01/07/2019;30/11/2019;-22549000;Gerais & Administrativas;
01/10/2019;31/03/2020;-25356000;Gerais & Administrativas;
01/01/2020;31/03/2020;-26682000;Gerais & Administrativas;
01/04/2020;31/07/2020;-27779000;Gerais & Administrativas;
01/07/2020;30/11/2020;-32386000;Gerais & Administrativas;
01/10/2020;31/03/2021;-38375000;Gerais & Administrativas;
01/01/2021;31/03/2021;-39999000;Gerais & Administrativas;
01/04/2021;31/07/2021;-39452000;Gerais & Administrativas;
01/07/2021;30/11/2021;-44452000;Gerais & Administrativas;
01/10/2021;31/03/2022;-50563000;Gerais & Administrativas;
01/01/2022;31/03/2022;-68044000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/01/2019;31/03/2019;-3185000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/04/2019;31/07/2019;-3228000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/07/2019;30/11/2019;-2583000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/10/2019;31/03/2020;-4557000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/01/2020;31/03/2020;-2485000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/04/2020;31/07/2020;-2636000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/07/2020;30/11/2020;-4549000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/10/2020;31/03/2021;-5248000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/01/2021;31/03/2021;-2520000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/04/2021;31/07/2021;-4109000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/07/2021;30/11/2021;-5960000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/10/2021;31/03/2022;-5657000;Outras Receitas (Despesas) Operacionais, Líquidas;
01/01/2022;31/03/2022;-5924000;Outras Receitas (Despesas) Operacionais, Líquidas;
