DATA_INICIO;DATA_FIM;Receita Bruta Digital (R$ mil);Penetração Digital (% Receita Bruta Total)
01/01/2019;31/03/2019;14228000;0,055377101
01/04/2019;31/07/2019;18957000;0,067985225
01/07/2019;30/11/2019;23287000;0,078130332
01/10/2019;31/03/2020;33071000;0,100091798
01/01/2020;31/03/2020;46355000;0,131747378
01/04/2020;31/07/2020;97945000;0,257913572
01/07/2020;30/11/2020;114782000;0,254980077
01/10/2020;31/03/2021;136551745,5;0,26011719
01/01/2021;31/03/2021;155513000;0,289317899
01/04/2021;31/07/2021;181243000;0,303
01/07/2021;30/11/2021;198767000;0,31
01/10/2021;31/03/2022;214501000;0,309
01/01/2022;31/03/2022;220013000;0,317
;;;
